news_article,news_category,
"When Taylor Lautner started acting in the ¡°Twilight¡± movies, he was just 16 years old. In order to keep weight on after long days filming and working out, he¡¯d need to consume 5,000 calories a day and would fill up on greasy Carl¡¯s Jr. meals, chasing them with milkshakes.",entertainment,
"During an appearance on SiriusXM¡¯s ¡°Basic!¡± podcast, which was recorded in late July soon after the announcement that the Showtime late-night talk show was being canceled, Mero said he and Desus ¡°had discussed pursuing separate interests for over a year prior to the show coming to an end.¡±",entertainment,
"It¡¯s hard to keep a poker face with this ¡°Joker¡± sequel news. Lady Gaga has announced she will star alongside Joaquin Phoenix in the upcoming sequel to ¡°Joker.¡± Todd Phillips, who directed and co-wrote the 2019 film first teased ¡°Joker: Folie ¨¤ Deux¡± back in June. Gaga revealed in her musical teaser that the new film is slated to be released October 4, 2024.",entertainment,
"China announced on Friday that it would formally charge 12 anti-government demonstrators who fled Hong Kong in a speedboat three months ago. China said the 12 defendants were charged with illegal border crossing and organizing illegal border crossing. The men, who have been detained since August 23, could face up to seven years in prison if convicted.",world,
"Alibaba just posted flat revenue growth for the first time since becoming a public company, but investors don't seem to mind. Shares of the Chinese tech and e-commerce giant jumped more than 6% in premarket trading in New York on Thursday. Its stock in Hong Kong had earlier closed up 5.2%.",world,
"A large explosion at a water treatment site in Avonmouth, England, has caused multiple casualties, an Avon Fire and Rescue Service spokesman said. The police have declared this a major incident. The explosion is believed to have occurred in a chemical container at Wessex Water's Bristol Water Recycling Centre, police said.",world,
"At least 14 people were killed and around 40 others injured after a fire swept through a nightclub in Chonburi province in south-eastern Thailand. The fire broke out at 01:00 local time on Friday (18:00 GMT Thursday) at the Mountain B nightspot in Sattahip district, police said.",world,
"A Pakistani anti-terrorism court on Wednesday sentenced Yahya Mujahid, a spokesman for Jamaat-Ud-Dawa (JuD), led by the alleged mastermind of the Mumbai attacks, Hafiz Saeed, to 15 years in prison in a terror financing case. In November, Mujahid was sentenced to 32 years in prison in two terrorism financing cases. Saeed was also sentenced last month to 10 years in prison in a slush fund case.",world,
China demanded on Friday that the US stop abusing the concept of national security after the Trump administration blacklisted Chinese chip maker SMIC and state-owned offshore oil and gas producer CNOOC. China firmly opposes the US's deliberate suppression of Chinese companies. The United States has identified a total of 35 companies that are owned or controlled by the Chinese military.,world,
"This not yet officially named compact electric SUV is going to be the first electric Jeep globally, spearheading the brand's efforts beyond the 4xe plug-in hybrid treatment currently spreading throughout its U.S. lineup. With chubby-cute styling that looks like a Renegade cross-bred with a Compass, it's clearly aimed at foreign markets.",automobile,
"Tesla even went as so far as to release a video of a Cybertruck handedly beating a Ford F-150 in a bout of tug-0-war. Performance antics aside, the Cybertruck's most impressive number was its MSRP. When Tesla first launched the pre-order site for the truck, the starting price was listed at $39,900 for the single-motor model.",automobile,
"The Ford F-150 has been the bestselling truck in America for decades, but its interior hasn't stood out much. And when the latest Ram 1500 made its debut, it became the new benchmark not only because of the way it drove, but also because of the cabin's attention to detail. Although pickup trucks are generally known for being work vehicles, Ram took its truck to the next level.",automobile,
"What's more, the navigation shows all the electric charging stations nearby and will tell you where to stop and for how long, depending on your state of charge. It's not as useful as Tesla's supercharger map, which lets you know how many superchargers are available in real time, but it displays each station's brand and kilowatt-hour rating.",technology,
"Like the metal it's named for, the F-150 Lightning Platinum will likely be among the rarest variants of the new electric pickup's lineup. It's also the heaviest variant, at 6,900 pounds, which makes it the most inefficient, too¡ªnetting just 300 miles of EP-rated range.",automobile,
"If you're looking to test drive or buy a Toyota bZ4X soon, you might want to hold off. Well, technically, you likely have to hold off. Today, Toyota issued a recall notice and stated that all bZ4Xs under that recall should not be driven. The wheels could literally fall off during tight turns or hard braking due to an issue with the lug bolts that attach the wheel to the hub.",automobile,
"Few things are harder than hurling a robot into space ¡ª and sticking the landing. On the morning of July 4, 1997, mission controllers at the Jet Propulsion Laboratory in Pasadena, Calif., were hoping to beat the odds and land a spacecraft successfully on the Red Planet.",science,
"Lionfish certainly aren¡¯t the fastest predators on the reef, but new research suggests that they can catch swift prey through pure tenacity, gliding slowly in pursuit until the perfect moment to strike.The finding may help explain part of the lionfish¡¯s impact as an invasive species.",science,
"In a new field dubbed ¡°necrobotics,¡± researchers converted the corpses of wolf spiders into grippers that can manipulate objects. All the team had to do was stab a syringe into a dead spider¡¯s back and superglue it in place. Pushing fluid in and out of the cadaver made its legs clench open and shut, the researchers report July 25 in Advanced Science.",science,
"¡°When people talk about food systems, they always think about the cow in the field,¡± says statistician Francesco Tubiello, lead author of one of the reports, appearing in last June¡¯s Environmental Research Letters. True, cows are a major source of methane, which, like other greenhouse gases, traps heat in the atmosphere.",science,
"The findings, detailed in the July Biology Letters, come as a surprise, since almost all the credit for pollination of red clover has gone to bees. The discovery highlights what researchers may be missing during the night shift of plant pollination, including a previously unknown benefit the moth pollination bestows on the clover a boost in seed production.",science,
"The record-setting collapsed star, named PSR J0952-0607, weighs about 2.35 times as much as the sun, researchers report July 11 on arXiv.org. ¡°That¡¯s the heaviest well-measured neutron star that has been found to date,¡± says study coauthor Roger Romani, an astrophysicist at Stanford University.",science,
"Android announced that the twenty fourth generation of Huawei smart phone is going to be published in market in the next two years. Compared to the previous generation, the new one enables face recognition as password and voice detection gadgets. It is also 30% cheaper but 70% faster in processing than iPhone thirteenth generation.",technology,
On September 1£¬the Beijing City Public Security Bureau received a complaint letter about the ¡®Spring Hotel¡¯ from a male traveler who just arrived in Beijing from Xinjiang by train. The letter claimed that he was severely humiliated and physically harmed by the hotel during the three hours of dispute.,world,
A group of scientists announced that they found new renewable resource that could replace existing ones. Significant amount of companies are looking forward to a long-term trade with them because of the great profit from the renewable resource. Statistics shows that this new resource is 95% more efficient than solar energy.,science,
"Trump, the former president of USA, claimed that he is against the abortion act which was harshly criticized by public over months. ¡°Abortion act is against humanity¡±, Trump said in his last presentation at White House. He also believed that the current president of the United State is going to stop this act soon.",world,
"On January 21, 2022, an unarmed African American student was mistakenly shot by a police officer on Bay Street near University of Toronto, Canada. According to the witness of the incident, the police officer seemed to assume the black man was intending to steal from a passerby, and mistakenly thought the action of fumblng the pocket was to grab a gun.",world,
